2022-05-19 20:56:08,160 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-19 20:56:08,161 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportServiceTest]: ReportServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-19 20:56:08,369 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportServiceTest
2022-05-19 20:56:08,515 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-19 20:56:08,538 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3b220bcb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2b95e48b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4a3329b9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3dddefd8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@160ac7fb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@12bfd80d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@41925502, org.springframework.test.context.event.EventPublishingTestExecutionListener@13e3c1c7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5316e95f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3f053c80, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6c6c5427, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@618c5d94, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5b40ceb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@13c3c1e1]
2022-05-19 20:56:09,123 [main] INFO  c.w.c.s.report.ReportServiceTest [Line:55 ] - Starting ReportServiceTest using Java 13.0.1 on LAPTOP-J55HQ3VK with PID 13620 (started by Raquel in D:\OneDrive\大三下\软工三\小组大作业\迭代三\backend-sec)
2022-05-19 20:56:09,124 [main] INFO  c.w.c.s.report.ReportServiceTest [Line:664] - The following profiles are active: dev
2022-05-19 20:56:11,104 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog [Line:212] - MLog clients using slf4j logging.
2022-05-19 20:56:11,586 [main] INFO  com.mchange.v2.c3p0.C3P0Registry [Line:212] - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2022-05-19 20:56:12,685 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [Line:181] - Initializing ExecutorService 'taskExecutor'
2022-05-19 20:56:14,619 [main] INFO  c.w.c.s.report.ReportServiceTest [Line:61 ] - Started ReportServiceTest in 5.989 seconds (JVM running for 9.832)
