2022-05-03 17:12:58,129 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.mapper.TodoTaskMappperTest], using SpringBootContextLoader
2022-05-03 17:12:58,139 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.mapper.TodoTaskMappperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,140 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.mapper.TodoTaskMappperTest]: TodoTaskMappperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:58,404 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.mapper.TodoTaskMappperTest
2022-05-03 17:12:58,594 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,628 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@45cff11c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@207ea13, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4bff1903, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@62dae540, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5827af16, org.springframework.test.context.transaction.TransactionalTestExecutionListener@654d8173, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@56c9bbd8, org.springframework.test.context.event.EventPublishingTestExecutionListener@630cb4a4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@636e8cc, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f79a760, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@14f5da2c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@12dae582, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@239b0f9d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@619bfe29]
2022-05-03 17:12:58,666 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.task.TaskServiceTest], using SpringBootContextLoader
2022-05-03 17:12:58,674 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.task.TaskServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,674 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.task.TaskServiceTest]: TaskServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-03 17:12:58,704 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.task.TaskServiceTest
2022-05-03 17:12:58,717 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-03 17:12:58,720 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4de41af9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@56ace400, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@47404bea, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@305f7627, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5d018107, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cbcf243, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@29e6eb25, org.springframework.test.context.event.EventPublishingTestExecutionListener@62435e70, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@339bf286, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@38be305c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@269f4bad, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ed731d0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3234f74e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7bc10d84]
2022-05-03 17:12:58,733 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest], using SpringBootContextLoader
2022-05-03 17:12:58,738 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-03 17:12:58,738 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportSimilarityServiceTest]: ReportSimilarityServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
