2022-05-21 20:49:11,346 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:305] - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.welldone.collect.service.report.ReportClusterServiceTest], using SpringBootContextLoader
2022-05-21 20:49:11,404 [main] INFO  o.s.t.c.s.AbstractContextLoader [Line:264] - Could not detect default resource locations for test class [cn.welldone.collect.service.report.ReportClusterServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-21 20:49:11,405 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils [Line:83 ] - Could not detect default configuration classes for test class [cn.welldone.collect.service.report.ReportClusterServiceTest]: ReportClusterServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-21 20:49:11,681 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:238] - Found @SpringBootConfiguration cn.welldone.collect.CollectApplication for test class cn.welldone.collect.service.report.ReportClusterServiceTest
2022-05-21 20:49:11,972 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:245] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-21 20:49:12,019 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper [Line:174] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@c260bdc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75e01201, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2783717b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@76f7d241, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4a335fa8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3f363cf5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3829ac1, org.springframework.test.context.event.EventPublishingTestExecutionListener@4baf352a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1bb1fde8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@15eebbff, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@22d6f11, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@30990c1b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2453f95d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@44828f6b]
2022-05-21 20:49:12,790 [main] INFO  c.w.c.s.r.ReportClusterServiceTest [Line:55 ] - Starting ReportClusterServiceTest using Java 13.0.1 on LAPTOP-J55HQ3VK with PID 20952 (started by Raquel in D:\OneDrive\大三下\软工三\小组大作业\迭代三\backend-sec)
2022-05-21 20:49:12,791 [main] INFO  c.w.c.s.r.ReportClusterServiceTest [Line:664] - The following profiles are active: dev
2022-05-21 20:49:14,874 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog [Line:212] - MLog clients using slf4j logging.
2022-05-21 20:49:15,389 [main] INFO  com.mchange.v2.c3p0.C3P0Registry [Line:212] - Initializing c3p0-0.9.5.2 [built 08-December-2015 22:06:04 -0800; debug? true; trace: 10]
2022-05-21 20:49:16,505 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor [Line:181] - Initializing ExecutorService 'taskExecutor'
